keyword,Lĩnh vực,violation_level
tin hay,Báo chí,0
tin mới,Báo chí,0
tin tiêu điểm,Báo chí,0
tin thế giới,Báo chí,0
cập nhật 24h,Báo chí,0
tin việt nam,Báo chí,0
tin 24h,Báo chí,0
tin online,Báo chí,0
tin xã hội,Báo chí,0
tin pháp luật,Báo chí,0
tin thị trường,Báo chí,0
tin tổng hợp,Báo chí,0
tin nóng 24h,Báo chí,0
tin ngày mới,Báo chí,0
cập nhập tin nóng,Báo chí,0
điểm tin,Báo chí,0
hot news,Báo chí,0
hot trend,Báo chí,0
nóng nhất,Báo chí,0
hot nhất,Báo chí,0
nóng hổi,Báo chí,0
sự kiện nóng,Báo chí,0
chạy thử nghiệm chờ cấp phép,Báo chí,0
chạy thử nghiệm và chờ cấp phép,Báo chí,0
chạy thử nghiệm chờ xin giấy phép,Báo chí,0
chạy thử nghiệm,Báo chí,0
Hóng biến,Báo chí,0
Tâm điểm,Báo chí,0
tạp chí điện tử,Báo chí,0
trang tin tổng hợp,Báo chí,0
cổng thông tin điện tử,Báo chí,0
bản tin,Báo chí,0
thông cáo báo chí,Báo chí,0
phóng sự,Báo chí,0
ký sự,Báo chí,0
bình luận thời sự,Báo chí,0
xã luận,Báo chí,0
phỏng vấn độc quyền,Báo chí,0
tin quốc tế,Báo chí,0
tin trong nước,Báo chí,0
tin kinh tế,Báo chí,0
tin thể thao,Báo chí,0
tin showbiz,Báo chí,0
soi sao,Báo chí,0
tin sao việt,Báo chí,0
tin hậu trường,Báo chí,0
tin chọn lọc,Báo chí,0
chuyên trang,Báo chí,0
tin tức tổng hợp,Báo chí,0
tin vắn,Báo chí,0
tin độc quyền,Báo chí,0
tin chính thống,Báo chí,0
biên tập viên,Báo chí,0
ban biên tập,Báo chí,0
cộng tác viên báo chí,Báo chí,0
đăng tải nội dung,Báo chí,0
trang tin điện tử tổng hợp,Báo chí,0
tự ý đăng tải,Báo chí,0
chuyển tiền và nhận tiền,"Tài chính, ngân hàng, TMĐT",0
nhận tiền từ nước ngoài,"Tài chính, ngân hàng, TMĐT",0
đăng nhập internet banking,"Tài chính, ngân hàng, TMĐT",0
đăng nhập tài khoản internet banking,"Tài chính, ngân hàng, TMĐT",0
tài khoản mobile banking,"Tài chính, ngân hàng, TMĐT",0
liên kết nhận quà,"Tài chính, ngân hàng, TMĐT",0
nhận quà tặng,"Tài chính, ngân hàng, TMĐT",0
quà tặng shopee,"Tài chính, ngân hàng, TMĐT",0
quà tặng lazada,"Tài chính, ngân hàng, TMĐT",0
Nhận Tiền Western Union Trực Tuyến,"Tài chính, ngân hàng, TMĐT",0
nhận tiền banking,"Tài chính, ngân hàng, TMĐT",0
vay theo lương,"Tài chính, ngân hàng, TMĐT",0
thế chấp ô tô,"Tài chính, ngân hàng, TMĐT",0
thế chấp nhà,"Tài chính, ngân hàng, TMĐT",0
ưu đãi thẻ,"Tài chính, ngân hàng, TMĐT",0
cầm đồ,"Tài chính, ngân hàng, TMĐT",0
tín dụng,"Tài chính, ngân hàng, TMĐT",0
tư vấn tín dụng,"Tài chính, ngân hàng, TMĐT",0
đáo hạn thẻ tín dụng,"Tài chính, ngân hàng, TMĐT",0
tín dụng đen,"Tài chính, ngân hàng, TMĐT",0
lãi suất ngân hàng,"Tài chính, ngân hàng, TMĐT",0
tín chấp,"Tài chính, ngân hàng, TMĐT",0
thẻ ngân hàng,"Tài chính, ngân hàng, TMĐT",0
tài khoản ngân hàng,"Tài chính, ngân hàng, TMĐT",0
hóa đơn điện tử,"Tài chính, ngân hàng, TMĐT",0
sao kê trực tuyến,"Tài chính, ngân hàng, TMĐT",0
vay vốn,"Tài chính, ngân hàng, TMĐT",0
ngoại hối,"Tài chính, ngân hàng, TMĐT",0
ngoại tệ,"Tài chính, ngân hàng, TMĐT",0
lãi suất,"Tài chính, ngân hàng, TMĐT",0
bán hàng online,"Tài chính, ngân hàng, TMĐT",0
mua sắm online,"Tài chính, ngân hàng, TMĐT",0
mua bán trực tuyến,"Tài chính, ngân hàng, TMĐT",0
quà tặng,"Tài chính, ngân hàng, TMĐT",0
giảm giá,"Tài chính, ngân hàng, TMĐT",0
siêu khuyến mại,"Tài chính, ngân hàng, TMĐT",0
hỗ trợ chứng minh thu nhập,"Tài chính, ngân hàng, TMĐT",0
vay ngân hàng,"Tài chính, ngân hàng, TMĐT",0
hỗ trợ lãi suất mùa dịch ,"Tài chính, ngân hàng, TMĐT",0
vay tiền online,"Tài chính, ngân hàng, TMĐT",0
đăng ký khoản vay,"Tài chính, ngân hàng, TMĐT",0
vay tiêu dùng,"Tài chính, ngân hàng, TMĐT",0
vay tiền 24h,"Tài chính, ngân hàng, TMĐT",0
hoàn tất nhận tiền,"Tài chính, ngân hàng, TMĐT",0
ngân hàng điện tử,"Tài chính, ngân hàng, TMĐT",0
xác nhận giao dịch,"Tài chính, ngân hàng, TMĐT",0
hình thức vay,"Tài chính, ngân hàng, TMĐT",0
số chứng minh nhân dân,"Tài chính, ngân hàng, TMĐT",0
nhận thưởng shopee,"Tài chính, ngân hàng, TMĐT",0
giao dịch ngân hàng,"Tài chính, ngân hàng, TMĐT",0
thẻ tín dụng ngân hàng,"Tài chính, ngân hàng, TMĐT",0
rút tiền,"Tài chính, ngân hàng, TMĐT",0
giao dịch 24h,"Tài chính, ngân hàng, TMĐT",0
rút tiền nhanh,"Tài chính, ngân hàng, TMĐT",0
thủ tục nhận tiền,"Tài chính, ngân hàng, TMĐT",0
ví điện tử,"Tài chính, ngân hàng, TMĐT",0
quà tặng tiki,"Tài chính, ngân hàng, TMĐT",0
vay online,"Tài chính, ngân hàng, TMĐT",0
vay nhanh,"Tài chính, ngân hàng, TMĐT",0
app vay,"Tài chính, ngân hàng, TMĐT",0
vay tín chấp,"Tài chính, ngân hàng, TMĐT",0
vay thế chấp ,"Tài chính, ngân hàng, TMĐT",0
vay trả góp,"Tài chính, ngân hàng, TMĐT",0
vay tiền,"Tài chính, ngân hàng, TMĐT",0
vay tiêu dùng,"Tài chính, ngân hàng, TMĐT",0
vay nóng,"Tài chính, ngân hàng, TMĐT",0
vay lãi,"Tài chính, ngân hàng, TMĐT",0
vay thấu chi,"Tài chính, ngân hàng, TMĐT",0
vay tiền nhanh,"Tài chính, ngân hàng, TMĐT",0
vay vốn,"Tài chính, ngân hàng, TMĐT",0
vay không cần chứng minh thu nhập,"Tài chính, ngân hàng, TMĐT",0
vay tiền nhanh trong ngày,"Tài chính, ngân hàng, TMĐT",0
duyệt vay online,"Tài chính, ngân hàng, TMĐT",0
giải ngân trong 30 phút,"Tài chính, ngân hàng, TMĐT",0
vay ngang hàng,"Tài chính, ngân hàng, TMĐT",0
ứng tiền nhanh,"Tài chính, ngân hàng, TMĐT",0
thẻ tín dụng giả,"Tài chính, ngân hàng, TMĐT",0
đầu tư forex,"Tài chính, ngân hàng, TMĐT",0
đầu tư tiền ảo,"Tài chính, ngân hàng, TMĐT",0
đầu tư crypto,"Tài chính, ngân hàng, TMĐT",0
sàn giao dịch ngoại hối,"Tài chính, ngân hàng, TMĐT",0
lừa đảo qua mạng,"Tài chính, ngân hàng, TMĐT",0
lừa đảo chuyển khoản,"Tài chính, ngân hàng, TMĐT",0
mạo danh ngân hàng,"Tài chính, ngân hàng, TMĐT",0
mã otp ngân hàng,"Tài chính, ngân hàng, TMĐT",0
đánh cắp thông tin thẻ,"Tài chính, ngân hàng, TMĐT",0
thẻ visa,"Tài chính, ngân hàng, TMĐT",0
thẻ mastercard,"Tài chính, ngân hàng, TMĐT",0
chuyển khoản nhanh 24/7,"Tài chính, ngân hàng, TMĐT",0
tài khoản thanh toán,"Tài chính, ngân hàng, TMĐT",0
ngân hàng số,"Tài chính, ngân hàng, TMĐT",0
ví momo,"Tài chính, ngân hàng, TMĐT",0
ví zalopay,"Tài chính, ngân hàng, TMĐT",0
ví viettelpay,"Tài chính, ngân hàng, TMĐT",0
tiết kiệm online,"Tài chính, ngân hàng, TMĐT",0
gửi tiết kiệm,"Tài chính, ngân hàng, TMĐT",0
bảo hiểm khoản vay,"Tài chính, ngân hàng, TMĐT",0
mua trả góp 0%,"Tài chính, ngân hàng, TMĐT",0
thẻ trả góp,"Tài chính, ngân hàng, TMĐT",0
hỗ trợ tài chính,"Tài chính, ngân hàng, TMĐT",0
công ty tài chính,"Tài chính, ngân hàng, TMĐT",0
tổ chức tín dụng đen,"Tài chính, ngân hàng, TMĐT",0
vay đáo hạn,"Tài chính, ngân hàng, TMĐT",0
vay không thế chấp,"Tài chính, ngân hàng, TMĐT",0
vay sinh viên,"Tài chính, ngân hàng, TMĐT",0
